ambito_tasa,territorio_id,territorio_nombre,grupo_edad_id,sexo_id,tasa_asistencia,numerador,denominador,metrica,fuente_id,estado_dato
DEP,26084,Río Senguer,15_17,T,0.9390000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26077,Rawson,15_17,T,0.956,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26098,Tehuelches,15_17,T,0.9209999999999999,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26105,Telsen,15_17,T,0.937,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26049,Gastre,4_5,T,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26042,Gaiman,4_5,T,0.99,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26035,Futaleufú,4_5,T,0.9890000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26070,Paso de Indios,4_5,T,0.948,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26063,Mártires,4_5,T,0.941,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26056,Languiñeo,4_5,T,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26007,Biedma,4_5,T,0.981,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26028,Florentino Ameghino,4_5,T,0.986,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26021,Escalante,4_5,T,0.983,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26014,Cushamen,4_5,T,0.972,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26091,Sarmiento,4_5,T,0.98,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26084,Río Senguer,4_5,T,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26077,Rawson,4_5,T,0.9840000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26098,Tehuelches,4_5,T,0.9840000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26105,Telsen,4_5,T,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26049,Gastre,6_11,T,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26042,Gaiman,6_11,T,0.992,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26035,Futaleufú,6_11,T,0.9890000000000001,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26070,Paso de Indios,6_11,T,1.0,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26063,Mártires,6_11,T,0.983,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
DEP,26056,Languiñeo,6_11,T,0.992,,,asistencia_a_establecimiento_educativo,INDEC_CENSO_2022_GEOJSON_ASISTENCIA,OBSERVADO
